,restaurant,url,distance,star,num_reviews,city,price_range,cuisine,cuisine_label
2689,Papa's Gourmet Pizza,https://www.doordash.com/store/1453147/?pickup=false,0.2,4.4,49,Vancouver,$$,,
2690,Modern Handi Indian Cuisine,https://www.doordash.com/store/355294/?pickup=false,1.2,4.6,244,Vancouver,$$,South Asian,Indian
2691,Domo Sushi,https://www.doordash.com/store/98660/?pickup=false,0.6,4.5,59,Vancouver,$$,East Asian,Japanese
2692,SHANGHAI NOODLES,https://www.doordash.com/store/2532336/?pickup=false,0.8,4.6,182,Vancouver,$$,East Asian,Chinese
2693,Bibi's kitchen,https://www.doordash.com/store/93088/?pickup=false,1.1,3.9,113,Vancouver,$$,,
2694,SeaHouse Restaurant,https://www.doordash.com/store/1081023/?pickup=false,0.5,4.4,77,Vancouver,$$,European,Italian
2695,Nene Chicken,https://www.doordash.com/store/2631802/?pickup=false,0.9,4.6,209,Vancouver,$$,East Asian,Korean
2696,Bellaggio,https://www.doordash.com/store/800042/?pickup=false,0.4,4.5,50,Vancouver,$$,,
2697,Wicked Cafe,https://www.doordash.com/store/2846854/?pickup=false,1.4,4.5,96,Vancouver,$$,,
2698,Big Bang Sushi,https://www.doordash.com/store/790750/?pickup=false,1.3,4.7,78,Vancouver,$$,East Asian,Japanese
2699,Pho 37,https://www.doordash.com/store/1752863/?pickup=false,1,4.7,191,Vancouver,$$,Southeast Asian,Vietnamese
2700,Time Out Cafe,https://www.doordash.com/store/98500/?pickup=false,0.6,4,1,Vancouver,$$,,
2701,Crepe Delicious,https://www.doordash.com/store/23057320/?pickup=false,0.5,4.6,15,Vancouver,$,,
2702,Yui Japanese Bistro,https://www.doordash.com/store/1472389/?pickup=false,0.6,4.7,84,Vancouver,$$,East Asian,Japanese
2703,Ben Gong's Tea,https://www.doordash.com/store/928303/?pickup=false,1.7,4.4,472,Vancouver,$$,,
2704,Tendon Kohaku,https://www.doordash.com/store/1509295/?pickup=false,0.3,4.6,144,Vancouver,$$,East Asian,Japanese
2705,Koko Monk Chocolates,https://www.doordash.com/store/961029/?pickup=false,1.6,4.6,13,Vancouver,$$,,
2706,Yets Cafe,https://www.doordash.com/store/1863105/?pickup=false,0.8,4.8,32,Vancouver,$$,,
2707,Brioche Urban Baking & Catering,https://www.doordash.com/store/28136/?pickup=false,0.4,4.5,88,Vancouver,$$,European,Italian
2708,Prototype Coffee,https://www.doordash.com/store/713300/?pickup=false,1.3,4.8,71,Vancouver,$$,,
2709,Hot Pie Pizza,https://www.doordash.com/store/98645/?pickup=false,0.5,4.2,112,Vancouver,$$,European,Italian
2710,Caffe Mira,https://www.doordash.com/store/116722/?pickup=false,1.7,4.8,231,Vancouver,$$,North American,American
2711,Mitra Canteen,https://www.doordash.com/store/58696/?pickup=false,1.7,4.8,11,Vancouver,$$,,
2712,AMOKA Coffee and Bites,https://www.doordash.com/store/1649877/?pickup=false,0.7,4.6,261,Vancouver,$$,,
2713,Ukrainian Village,https://www.doordash.com/store/31108/?pickup=false,1.2,4.6,1000,Vancouver,$$,European,Ukrainian
2714,The Captain's Boil,https://www.doordash.com/store/923552/?pickup=false,0.9,4.3,404,Vancouver,$$,,
2715,Fiasco Pizza Company,https://www.doordash.com/store/1487139/?pickup=false,0.4,4.1,37,Vancouver,$$,,
2716,Vera's Burger Shack,https://www.doordash.com/store/28753/?pickup=false,1.6,4.3,630,Vancouver,$,North American,American
2717,Purple Grain Cafe,https://www.doordash.com/store/1136951/?pickup=false,1.4,5,1,Vancouver,$$,,
2718,La Casa Gelato,https://www.doordash.com/store/445997/?pickup=false,1.5,4.8,50,Vancouver,$$,,
2719,Tropika,https://www.doordash.com/store/31105/?pickup=false,1.5,4.5,217,Vancouver,$$,,
2720,World Wrap Place,https://www.doordash.com/store/42895/?pickup=false,0.5,4.8,20,Vancouver,$,,
2721,Pizza Pizza,https://www.doordash.com/store/917414/?pickup=false,1.4,4.4,1300,Vancouver,$,European,Italian
2722,PHO Q&M Vietnamese Restaurent,https://www.doordash.com/store/925429/?pickup=false,1.2,4.7,70,Vancouver,$$,Southeast Asian,Vietnamese
2723,3 Quarters Full Cafe,https://www.doordash.com/store/150291/?pickup=false,1.2,4.5,710,Vancouver,$,,
2724,Ben Gong's Tea,https://www.doordash.com/store/1594080/?pickup=false,1.3,4.7,71,Vancouver,$$,,
2725,Blenz Coffee,https://www.doordash.com/store/518136/?pickup=false,0.5,4.6,334,Vancouver,$,,
2726,Boston Pizza,https://www.doordash.com/store/881467/?pickup=false,0.2,4.4,510,Vancouver,$,,
2727,Mount Everest Kitchen & Grill,https://www.doordash.com/store/2234100/?pickup=false,0.2,4.6,237,Vancouver,$$,South Asian,Indian
2728,Monsoon curry,https://www.doordash.com/store/1657265/?pickup=false,1.8,4.6,253,Vancouver,$$,South Asian,Indian
2729,La Ruota Pizzeria,https://www.doordash.com/store/2046596/?pickup=false,1.1,4.5,272,Vancouver,$$,,
